ADANI GREEN ENERGY LIMITED — Project Master Tracker,,,,,,,,,,,,,,,,,,,,,
Project ID,Project Name,Project Type,Location,State,Capacity (MW),FY Year,Category,Budget Allocated (? Cr),Budget Used (? Cr),Budget Remaining (? Cr),Revenue Generated (? Cr),Scheduled Comm. Date,Expected Comm. Date,Actual Comm. Date,Contractor Name,Material (Module/Turbine),Material Status,Contractor Payment Status,Project Completion (%),Delay (Days),Remarks
AGEL-S-001,Tumkur Solar Phase 3 – 200MW,Solar,Tumkur,Karnataka,200,FY2023-24,Commissioned,983.75,926.94,56.81,262.59,12-Apr-2023,—,10-May-2023,Goldi Solar Pvt Ltd,JA Solar (545W DeepBlue),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-002,Chitradurga Solar Park – 250MW,Solar,Chitradurga,Karnataka,250,FY2022-23,Commissioned,"1,201.97","1,140.33",61.64,257.70,18-Jul-2021,—,29-Jul-2021,Sterling and Wilson Pvt Ltd,Jinko Solar (545W Tiger Neo),Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-S-003,Pokhran Solar Phase 2 – 100MW,Solar,Pokhran,Rajasthan,100,FY2021-22,Commissioned,518.96,513.22,5.74,123.38,05-Jun-2022,—,24-Aug-2022,Sterling and Wilson Pvt Ltd,Trina Solar (550W Vertex),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-004,Jodhpur Solar Phase 1 – 250MW,Solar,Jodhpur,Rajasthan,250,FY2021-22,Commissioned,"1,231.36","1,215.02",16.34,241.67,14-Jan-2023,—,18-Feb-2023,KEC International,LONGi Solar (555W Hi-MO6),Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-S-005,Mundra Solar Phase 1 – 100MW,Solar,Mundra,Gujarat,100,FY2023-24,Commissioned,493.96,465.11,28.85,134.62,27-Apr-2022,—,17-May-2022,Vikram Solar Ltd,Waaree Energies (550W Mono PERC),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-006,Patan Solar Phase 2 – 200MW,Solar,Patan,Gujarat,200,FY2022-23,Commissioned,907.51,903.37,4.14,242.88,25-Jun-2022,—,03-Jul-2022,KEC International,Jinko Solar (545W Tiger Neo),Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-S-007,Osmanabad Solar Phase 3 – 400MW,Solar,Osmanabad,Maharashtra,400,FY2022-23,Commissioned,"1,769.36","1,733.26",36.1,413.85,17-Sep-2021,—,20-Oct-2021,Genus Power Infrastructures,Canadian Solar (550W HiKu7),Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-S-008,Morbi Solar Park – 300MW,Solar,Morbi,Gujarat,300,FY2021-22,Commissioned,"1,303.64","1,204.26",99.38,248.95,08-Sep-2023,—,10-Nov-2023,Goldi Solar Pvt Ltd,REC Group (405W Alpha Pure-R),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-009,Anantapur Solar Park – 100MW,Solar,Anantapur,Andhra Pradesh,100,FY2023-24,Commissioned,460.23,443.78,16.45,126.21,11-Jun-2023,—,17-Aug-2023,SPML Infra Ltd,LONGi Solar (555W Hi-MO6),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-010,Rann of Kutch Solar Park – 300MW,Solar,Rann of Kutch,Gujarat,300,FY2022-23,Commissioned,"1,261.56","1,233.51",28.05,317.87,23-Sep-2021,—,20-Nov-2021,SPML Infra Ltd,Adani Solar (540W TOPCon),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-011,Jaisalmer Solar Phase 3 – 250MW,Solar,Jaisalmer,Rajasthan,250,FY2023-24,Commissioned,"1,199.57","1,119.11",80.46,330.30,24-Jan-2022,—,12-Feb-2022,Genus Power Infrastructures,JA Solar (545W DeepBlue),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-012,Kurnool Solar Park – 500MW,Solar,Kurnool,Andhra Pradesh,500,FY2022-23,Commissioned,"2,146.34","2,125.39",20.95,589.59,23-Aug-2022,—,22-Sep-2022,Montecarlo Ltd,Adani Solar (540W TOPCon),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-013,Bikaner Solar Park – 150MW,Solar,Bikaner,Rajasthan,150,FY2022-23,Commissioned,756.64,732.83,23.81,209.16,02-Nov-2021,—,05-Dec-2021,Waaree Energies Ltd,Canadian Solar (550W HiKu7),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-014,Pavagada Solar Phase 3 – 300MW,Solar,Pavagada,Karnataka,300,FY2022-23,Commissioned,"1,367.85","1,295.42",72.43,326.68,05-Aug-2021,—,05-Sep-2021,Genus Power Infrastructures,Trina Solar (550W Vertex),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-015,Dhule Solar Park – 50MW,Solar,Dhule,Maharashtra,50,FY2023-24,Commissioned,215.39,198.70,16.69,45.89,02-Apr-2021,—,01-May-2021,Waaree Energies Ltd,Jinko Solar (545W Tiger Neo),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-016,Barmer Solar Phase 3 – 200MW,Solar,Barmer,Rajasthan,200,FY2023-24,Commissioned,"1,091.08","1,074.28",16.8,217.17,27-Jul-2023,—,27-Aug-2023,Goldi Solar Pvt Ltd,JA Solar (545W DeepBlue),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-017,Khavda Solar Phase 3 – 400MW,Solar,Khavda,Gujarat,400,FY2021-22,Commissioned,"1,937.68","1,835.26",102.42,515.75,14-Jul-2021,—,21-Jul-2021,KEC International,Trina Solar (550W Vertex),Fully Delivered,Fully Paid,100%,0,On track
